Pair: a-b,a_xor_b,a_union_b,a_to_b,b_to_a
14->24,0,0,0,0
24->14,0,0,0,0
14->25,0,0,0,0
25->14,0,0,0,0
14->26,3863,4286,3880,4269
26->14,3863,4286,4269,3880
14->29,0,47,37,10
29->14,0,47,10,37
14->33,0,0,0,0
33->14,0,0,0,0
14->36,0,0,0,0
36->14,0,0,0,0
14->39,483,695,512,666
39->14,483,695,666,512
19->21,0,0,0,0
21->19,0,0,0,0
19->22,0,0,0,0
22->19,0,0,0,0
19->23,0,0,0,0
23->19,0,0,0,0
19->24,0,0,0,0
24->19,0,0,0,0
19->25,0,0,0,0
25->19,0,0,0,0
19->26,0,0,0,0
26->19,0,0,0,0
19->29,0,0,0,0
29->19,0,0,0,0
19->33,0,0,0,0
33->19,0,0,0,0
19->36,35251,65338,41104,59485
36->19,35251,65338,59485,41104
19->39,0,0,0,0
39->19,0,0,0,0
21->22,0,0,0,0
22->21,0,0,0,0
21->23,451,1826,1145,1132
23->21,451,1826,1132,1145
21->24,0,0,0,0
24->21,0,0,0,0
21->25,405,1352,778,979
25->21,405,1352,979,778
21->26,0,486,28,458
26->21,0,486,458,28
21->29,617,1747,1017,1347
29->21,617,1747,1347,1017
21->33,0,0,0,0
33->21,0,0,0,0
21->36,0,0,0,0
36->21,0,0,0,0
21->39,0,15,6,9
39->21,0,15,9,6
22->23,19263,39820,37431,21652
23->22,19263,39820,21652,37431
22->24,0,0,0,0
24->22,0,0,0,0
22->25,80059,112393,108836,83616
25->22,80059,112393,83616,108836
22->26,0,0,0,0
26->22,0,0,0,0
22->29,0,0,0,0
29->22,0,0,0,0
22->33,0,0,0,0
33->22,0,0,0,0
22->36,0,0,0,0
36->22,0,0,0,0
22->39,0,0,0,0
39->22,0,0,0,0
23->24,0,0,0,0
24->23,0,0,0,0
23->25,96385,159791,117675,138501
25->23,96385,159791,138501,117675
23->26,61,512,61,512
26->23,61,512,512,61
23->29,0,0,0,0
29->23,0,0,0,0
23->33,0,1,0,1
33->23,0,1,1,0
23->36,0,0,0,0
36->23,0,0,0,0
23->39,0,0,0,0
39->23,0,0,0,0
24->25,0,0,0,0
25->24,0,0,0,0
24->26,0,1,0,1
26->24,0,1,1,0
24->29,0,0,0,0
29->24,0,0,0,0
24->33,368688,604296,394657,578327
33->24,368688,604296,578327,394657
24->36,0,0,0,0
36->24,0,0,0,0
24->39,2662,3594,2682,3574
39->24,2662,3594,3574,2682
25->26,183,1094,459,818
26->25,183,1094,818,459
25->29,0,0,0,0
29->25,0,0,0,0
25->33,0,0,0,0
33->25,0,0,0,0
25->36,0,0,0,0
36->25,0,0,0,0
25->39,0,0,0,0
39->25,0,0,0,0
26->29,505,697,647,555
29->26,505,697,555,647
26->33,0,35,15,20
33->26,0,35,20,15
26->36,0,0,0,0
36->26,0,0,0,0
26->39,0,294,245,49
39->26,0,294,49,245
29->33,0,0,0,0
33->29,0,0,0,0
29->36,0,0,0,0
36->29,0,0,0,0
29->39,713,1944,748,1909
39->29,713,1944,1909,748
33->36,0,0,0,0
36->33,0,0,0,0
33->39,0,66,0,66
39->33,0,66,66,0
36->39,0,0,0,0
39->36,0,0,0,0
2->3,0,0,0,0
3->2,0,0,0,0
2->4,0,9,1,8
4->2,0,9,8,1
2->6,0,0,0,0
6->2,0,0,0,0
2->7,4693,7258,5283,6668
7->2,4693,7258,6668,5283
2->8,0,0,0,0
8->2,0,0,0,0
2->9,0,0,0,0
9->2,0,0,0,0
2->11,0,16,14,2
11->2,0,16,2,14
2->12,0,0,0,0
12->2,0,0,0,0
2->13,0,0,0,0
13->2,0,0,0,0
2->14,1871,3516,3282,2105
14->2,1871,3516,2105,3282
2->19,0,0,0,0
19->2,0,0,0,0
2->21,0,2,2,0
21->2,0,2,0,2
2->22,0,0,0,0
22->2,0,0,0,0
2->23,0,0,0,0
23->2,0,0,0,0
2->24,0,6,6,0
24->2,0,6,0,6
2->25,0,0,0,0
25->2,0,0,0,0
2->26,3775,5204,4082,4897
26->2,3775,5204,4897,4082
2->29,0,0,0,0
29->2,0,0,0,0
2->33,0,0,0,0
33->2,0,0,0,0
2->36,0,0,0,0
36->2,0,0,0,0
2->39,0,0,0,0
39->2,0,0,0,0
3->4,0,0,0,0
4->3,0,0,0,0
2->3,0,0,0,0
3->2,0,0,0,0
2->4,0,9,1,8
4->2,0,9,8,1
2->6,0,0,0,0
6->2,0,0,0,0
2->7,4693,7258,5283,6668
7->2,4693,7258,6668,5283
2->8,0,0,0,0
8->2,0,0,0,0
2->9,0,0,0,0
9->2,0,0,0,0
2->11,0,16,14,2
11->2,0,16,2,14
2->12,0,0,0,0
12->2,0,0,0,0
2->13,0,0,0,0
13->2,0,0,0,0
2->14,1871,3516,3282,2105
14->2,1871,3516,2105,3282
2->19,0,0,0,0
19->2,0,0,0,0
2->21,0,2,2,0
21->2,0,2,0,2
2->22,0,0,0,0
22->2,0,0,0,0
2->23,0,0,0,0
23->2,0,0,0,0
2->24,0,6,6,0
24->2,0,6,0,6
2->25,0,0,0,0
25->2,0,0,0,0
2->26,3775,5204,4082,4897
26->2,3775,5204,4897,4082
2->29,0,0,0,0
29->2,0,0,0,0
2->33,0,0,0,0
33->2,0,0,0,0
2->36,0,0,0,0
36->2,0,0,0,0
2->39,0,0,0,0
39->2,0,0,0,0
3->4,0,0,0,0
4->3,0,0,0,0
